s.no,moduleId,moduleName,errorMessage
663,13912,TBOBM2DR1S-DC,"Couldn't find shutter Name[2nd Drawer Facia] and Type[DF]"
635,13877,TPG2DR1GDR2S1FS-DC,"3rd Glass Facia required a glass details"
635,13877,TPG2DR1GDR2S1FS-DC,"Error in zone : 3_635_13877_TPG2DR1GDR2S1FS-DC for module [Tall Module Pantry Garage 2 Drawer and 1 glass facia drawer with 2 Shutter,13877] : Insufficient accessories. Minimum required: 2 got 0"
629,13871,GOLA-H3DR1SKTDR-150mm Ht-DC,"Couldn't find shutter Name[3rd Gola Drawer Facia] and Type[GDF]"
628,13870,GOLA-H3DR1SKTDR-100mm Ht-DC,"Couldn't find shutter Name[3rd Gola Drawer Facia] and Type[GDF]"
628,13870,GOLA-H3DR1SKTDR-100mm Ht-DC,"Error in zone : 5_628_13870_GOLA-H3DR1SKTDR-100mm Ht-DC for module [Gola Base Hob Module 1 Skirting Drawer 100,13870] : Insufficient accessories. Minimum required: 3 got 2"
629,13871,GOLA-H3DR1SKTDR-150mm Ht-DC,"Error in zone : 6_629_13871_GOLA-H3DR1SKTDR-150mm Ht-DC for module [Gola Base Hob Module 1 Skirting Drawer 150,13871] : Insufficient accessories. Minimum required: 3 got 2"
666,13915,GP-TBOBM2DR1S-DC,"Couldn't find shutter Name[2nd Drawer Facia] and Type[DF]"
679,13932,GP-TPG2DR1GDR1S1FS-DC,"3rd Glass Facia required a glass details"
675,13926,GP-T2DR1S1FS-Right-DC,"Error in zone : 6_675_13926_GP-T2DR1S1FS-Right-DC for module [G Profile Tall Module 2 Bottom Drawers with 1 Shutter Right,13926] : Insufficient accessories. Minimum required: 3 got 0"
671,13921,TOPE-DC,"Error in zone : 1_671_13921_TOPE-DC for module [Tall Module with Open End,13921] : Insufficient accessories. Minimum required: 3 got 2"
683,13937,THOP1FS1S-DC,"Error in zone : 1_683_13937_THOP1FS1S-DC for module [Other Module Tall Half Open and 1FS with Shutter Module-DC,13937] : Insufficient accessories. Minimum required: 3 got 2"
684,13939,THOP1FS2S-DC,"Error in zone : 2_684_13939_THOP1FS2S-DC for module [Tall Half Open with 2 Shutter Module,13939] : Insufficient accessories. Minimum required: 3 got 2"
685,13940,THOP1FS2S-PO-DC,"Error in zone : 3_685_13940_THOP1FS2S-PO-DC for module [Tall Half Open with 2 Shutter Module-Push to open,13940] : Insufficient accessories. Minimum required: 3 got 2"
787,14084,B1OTTDR-DC,"Couldn't find shutter Name[Drawer Facia] and Type[DF]"
783,14079,BPDL3DR-DC,"Couldn't find shutter Name[1st Drawer Facia] and Type[DF]"
765,14061,BSB2PT3DR3S-430D-DC,"Couldn't find shutter Name[3rd Drawer Facia] and Type[DF]"
751,14045,BSB1PT4S-DC,"Couldn't find shutter Name[Plain Shutter Left] and Type[PS]"
747,14041,BSB2PT4S-DC,"Couldn't find shutter Name[Plain Shutter Left] and Type[PS]"
738,14007,Wall Panel Backing Ply-DC,"Core material Prelam MDF 8mm/Silver Grey/0mm thickness not found, Check Panel panel),"
767,14063,BSB2PT3DR3S-560D-PO-DC,"Couldn't find shutter Name[3rd Drawer Facia] and Type[PODF]"
770,14066,BSB2PT3DR4S-560D-DC,"Couldn't find shutter Name[2nd Drawer Facia] and Type[DF]"
768,14064,BSB2PT3DR4S-430D-DC,"Couldn't find shutter Name[2nd Drawer Facia] and Type[DF]"
766,14062,BSB2PT3DR3S-430D-PO-DC,"Couldn't find shutter Name[3rd Drawer Facia] and Type[PODF]"
793,14090,TPJB3DR2S-110H-300H-300H-DC,"Couldn't find shutter Name[3rd Drawer Facia] and Type[DF]"
715,13983,TO1FSPL&GLSHF-DC,"Error in zone : 5_715_13983_TO1FSPL&GLSHF-DC for module [Tall Open 1Fixed Shelf Module with Wooden and glass Shelves,13983] : Insufficient accessories. Minimum required: 3 got 1"
